item,section,text,location,note
13e,Methods,Describe any methods used to explore possible causes of heterogeneity among study results.,"Methods, Analysis","Study-level predictors of completeness (calendar time, design, centre status, size, interventional design, outcome role, funding)."
13f,Methods,Describe any sensitivity analyses conducted to assess robustness of the synthesised results.,"Methods, Analysis; Results, Sensitivity analyses","Eligibility definition, composition of the minimum set (leave-one-out and a de novo DSA substitution), author-group clustering, source format, retrieval representativeness."
14,Methods,Describe any methods used to assess risk of bias due to missing results in a synthesis (arising from reporting biases).,"Results, Sensitivity analyses",Addressed as selective reporting: whether completeness predicts reporting a significant exposure-to-CLAD effect. Exploratory.
15,Methods,Describe any methods used to assess certainty (or confidence) in the body of evidence for an outcome.,Not applicable,No certainty rating. GRADE assesses confidence in an effect estimate; this review estimates no effect.
16a,Results,"Describe the results of the search and selection process, from the number of records identified in the search to the number of studies included in the review, ideally using a flow diagram.","Results, Corpus; Figure 1",
16b,Results,"Cite studies that might appear to meet the inclusion criteria, but which were excluded, and explain why they were excluded.",Figure 1; Supplement S2,"Full-text exclusions are given as a single count with their reasons listed; per-reason counts are not broken out except for the studies excluded as not lung transplant recipients, which are recorded per identifier with a reason."
17,Results,Cite each included study and present its characteristics.,Table 1,"Cohort characteristics by study design. Individual studies are not cited: {n_ana} studies are the unit of measurement, not of evidence."
18,Results,Present assessments of risk of bias for each included study.,Not applicable,See item 11.
19,Results,"For all outcomes, present, for each study: (a) summary statistics for each group (where appropriate) and (b) an effect estimate and its precision, ideally using structured tables or plots.",Not applicable,"No per-study effect estimates are extracted or presented; the outcome is measured on the study, not reported by it."
20a,Results,"For each synthesis, briefly summarise the characteristics and risk of bias among contributing studies.","Results, Corpus; Table 1",
20b,Results,Present results of all statistical syntheses conducted.,Results; Figures 2-5; Table 2; Supplementary tables,
20c,Results,Present results of all investigations of possible causes of heterogeneity among study results.,"Results, Predictors of reporting completeness; Figure 3",
20d,Results,Present results of all sensitivity analyses conducted to assess the robustness of the synthesised results.,"Results, Sensitivity analyses; Supplement",
21,Results,Present assessments of risk of bias due to missing results (arising from reporting biases) for each synthesis assessed.,"Results, Sensitivity analyses",See item 14.
22,Results,Present assessments of certainty (or confidence) in the body of evidence for each outcome assessed.,Not applicable,See item 15.
23a,Discussion,Provide a general interpretation of the results in the context of other evidence.,Discussion,
23b,Discussion,Discuss any limitations of the evidence included in the review.,"Discussion, Limitations",
23c,Discussion,Discuss any limitations of the review processes used.,"Discussion, Limitations","Single-pass extraction; single expert coder, so no inter-rater ceiling; reporting is assessed from the published article."
23d,Discussion,"Discuss implications of the results for practice, policy, and future research.",Discussion,Proposes a minimum immunological reporting set.
24a,Other,"Provide registration information for the review, including register name and registration number, or state that the review was not registered.","Methods, Design and search",The review was not registered. PROSPERO registers reviews of health outcomes and does not cover a reporting-completeness audit.
24b,Other,"Indicate where the review protocol can be accessed, or state that a protocol was not prepared.",Methods; Supplement S6,"No registered protocol. The instrument was locked before extraction: the covariate panel and its scoring anchors are reproduced in S6, and their pre-extraction version history is in the project repository."
24c,Other,Describe and explain any amendments to information provided at registration or in the protocol.,"Methods, Minimum immunological set","One amendment: an eligibility criterion excluding studies whose analysed population contains no lung transplant recipients was added after validation coding surfaced the omission; the records it excluded are listed by identifier. The minimum immunological set contains determinants of CLAD; the CLAD definition is an outcome-ascertainment item and is scored and reported as one, which is a scoping decision rather than an amendment."
25,Other,"Describe sources of financial or non-financial support for the review, and the role of the funders or sponsors in the review.",Title page,Generated from publication/manuscript/authors.yml; OUTSTANDING until that field is filled.
26,Other,Declare any competing interests of review authors.,Title page,Generated from publication/manuscript/authors.yml; OUTSTANDING until that field is filled.
27,Other,Report which of the following are publicly available and where they can be found: template data collection forms; data extracted from included studies; data used for all analyses; analytic code; any other materials used in the review.,Title page,"Generated from publication/manuscript/authors.yml; OUTSTANDING until filled. Extraction prompts are in S4, scoring anchors in S6."
