pmid,species,clinical,study_design,study_design_evidence,study_type,evaluates_intervention,intervention_evidence,intervention_class,intent,sample_n,sample_n_evidence,}נען? } Assistant  Nakne 天天中彩票网  ฝ่ายขายข่าว  Аԥс жәа? тру. to=final code 码                                 (json) 送彩金 ㋡ dbo  (The previous JSON has error extraneous). Need output valid. Let's correct. total no trailing. biomed JSON. 
41739903,mixed,False,other,,mechanistic_translational,True,"Development of fibrotic remodeling in transplanted mouse lungs was inhibited by preventing hyaluronan synthesis through the administration of 4-methylumbilliferone, accelerating lymphangiogenesis with pharmacologic activation of VEGF receptor-3, or inhibiting interleukin-1 receptor 1 signaling in the graft.",Other pharmacological,prevention,,,
41738587,human,True,retrospective_cohort,NTM-positive patients were identified from all CF patients treated at the University Hospitals of Zurich and Lausanne between 1998 and 2020. Disease course pre- and post-transplant was recorded,clinical_cohort,False,,,na,270.0,Of 270 patients,
41738136,human,True,prospective_cohort,prospective multicenter Lung Transplant Outcomes Group (LTOG) cohort study,clinical_cohort,False,,,na,2386.0,The analysis included 2386 adult lung recipients from 9 US centers.,
41756159,human,True,retrospective_cohort,"single-center, retrospective cohort study",clinical_cohort,False,,,na,51.0,We identified 51 lung retransplant recipients,
41738213,human,True,cross_sectional,,mechanistic_translational,False,,,na,,,
41756158,human,True,registry,identified using the UNOS database,registry,True,effect of recipient lung pathology and retransplant type on survival outcomes,Surgical / procedural,na,418.0,Of the 418 prior single lung transplant recipients,
41663041,human,True,other,"We performed comprehensive spatial transcriptomic analyses of human lungs from CLAD patients, non-CLAD transplant recipients, and non-transplanted controls.",mechanistic_translational,False,,,na,,,
41701147,human,True,retrospective_cohort,We analysed 137 adult CMV seropositive primary LTx recipients,clinical_cohort,True,"low-dose VGCV (450 mg daily for ≥6 months), or standard-standard dose (900 mg daily for ≥6 months)",CMV prophylaxis / antiviral,prevention,137.0,We analysed 137 adult CMV seropositive primary LTx recipients,
41690369,human,True,cross_sectional,We analyzed small airway brush RNA sequencing from 16 AMR cases and 39 controls across 2 centers.,mechanistic_translational,False,,,na,55.0,16 AMR cases and 39 controls,
41669771,human,True,retrospective_cohort,We retrospectively reviewed charts of patients retransplanted at our institution in 2006-2023.,clinical_cohort,True,Lung retransplantation (LRTx),Surgical / procedural,treatment_established_clad,60.0,LRTx was performed in 60 patients,
41672090,human,True,retrospective_cohort,A retrospective case-control study was conducted in 7 LT centres in Spain (2010-2023).,clinical_cohort,False,,,na,233.0,A total of 81 LT cases due to pneumoconiosis ... and 152 controls ... were included.,
41695191,human,False,other,This review synthesizes evidence,methods_or_review,False,,,na,,,
41574224,human,True,retrospective_cohort,"Of 827 lung transplant recipients treated between 2000 and 2018, 509 with complete data sets ... were included in this study.",clinical_cohort,False,,,na,509.0,509 with complete data sets from the University Hospital of Munich (LMU) were included in this study,
41624210,human,True,retrospective_cohort,We conducted a retrospective cohort study,clinical_cohort,False,,,na,342.0,342 adult lung transplant recipients,
41679649,human,True,cross_sectional,RNA sequencing from airway brushings of 37 LTRs with CLAD compared with 37 stable LTRs,mechanistic_translational,False,,,na,74.0,37 LTRs with CLAD compared with 37 stable LTRs,
41619918,human,True,prospective_cohort,measured serial absolute dd-cfDNA,clinical_cohort,False,,,na,242.0,The cohort included 242 patients,
41561943,human,True,retrospective_cohort,In this retrospective study,clinical_cohort,False,,,na,134.0,a total of 134 patients were enrolled,
41630968,human,True,registry,Scientific Registry of Transplant Recipients dataset,registry,True,"receiving MMF+TAC, SIR+TAC, or SIR+TAC+MMF/azathioprine (SIR+TAC+MMF/AZA) after BOS onset",mTOR inhibitor,treatment_established_clad,,,
41571047,human,True,retrospective_cohort,"A total of 110 LDLLTs, including 16 SLDLLTs and 94 bilateral living-donor lobar lung transplantations (BLDLLTs), were performed from 2008 to 2021. Patient characteristics and posttransplant outcomes were compared between the 2 groups.",clinical_cohort,True,single living-donor lobar lung transplantation (SLDLLT),Surgical / procedural,na,110.0,A total of 110 LDLLTs,
41514232,human,True,prospective_cohort,prospective longitudinal cohort pilot study,clinical_cohort,False,,,na,58.0,non-transplanted patients (n = 32) and transplanted patients (n = 26),
41871693,human,True,retrospective_cohort,single-center retrospective study,clinical_cohort,False,,,na,84.0,Among 84 patients,
41457728,human,True,retrospective_cohort,We performed a retrospective review of all pediatric lung transplantations conducted in our center since 1997.,clinical_cohort,False,,,na,29.0,29 (3.0%) were pediatric patients,
41487300,human,True,retrospective_cohort,We retrospectively analyzed 241 bilateral lung transplant recipients between 2005 and 2021.,clinical_cohort,False,,,na,241.0,We retrospectively analyzed 241 bilateral lung transplant recipients between 2005 and 2021.,
41492018,human,True,retrospective_cohort,"In our BAL biobank, we identified 13 LT patients with a BAL sample at CLAD diagnosis and 13 patients with a stable graft function",mechanistic_translational,False,,,na,26.0,13 LT patients with a BAL sample at CLAD diagnosis and 13 patients with a stable graft function,
41415034,human,True,prospective_cohort,This multicenter prospective cohort study included lung transplant patients.,mechanistic_translational,False,,,na,177.0,Among 177 lung transplant recipients,
41396406,human,True,retrospective_cohort,single-center retrospective cohort,clinical_cohort,True,anticoagulation-avoidance protocol,Surgical / procedural,prevention,7.0,Seven patients,
41510176,human,True,retrospective_cohort,A retrospective cohort analysis was performed on LTx recipients transplanted between July 2012 and August 2022 in our center.,clinical_cohort,False,,,na,286.0,94/286 patients (33%),
41402066,mixed,True,other,Using an orthotopic LTx model,mechanistic_translational,True,Adding CysC-Alb to preservation solutions during cold storage and ex vivo lung perfusion,Other pharmacological,prevention,,,
41453696,human,True,other,We performed a case-control study,mechanistic_translational,False,,,na,,,
41624215,human,True,prospective_cohort,prospective multicenter study,clinical_cohort,False,,,na,517.0,517 patients met inclusion criteria,
41342001,human,True,retrospective_cohort,We conducted a retrospective cohort study of 220 adult lung transplant recipients between 2018 and 2022,clinical_cohort,False,,,na,220.0,220 adult lung transplant recipients,
41375618,human,True,retrospective_cohort,single-center retrospective observational study,clinical_cohort,True,routine use of central VA ECLS,Surgical / procedural,prevention,35.0,35 patients were successfully transplanted,
41390918,human,True,retrospective_cohort,This retrospective cohort study included 82 patients,clinical_cohort,False,,,na,82.0,This retrospective cohort study included 82 patients,
41412718,mixed,True,other,clinical cohort,mechanistic_translational,False,,,na,240.0,transbronchial biopsies from 240 lung transplant recipients,
41337937,human,True,prospective_cohort,enrolled in CTOT-20,mechanistic_translational,False,,,na,181.0,181 lung transplant recipients,
41309269,human,True,prospective_cohort,prospective observational cohort,clinical_cohort,False,,,na,353.0,from 353 patients,
41321814,human,False,cross_sectional,A 24-item survey was distributed to transplant centers,methods_or_review,False,,,na,35.0,responses were received from 35 specialists,
41332351,human,True,other,,case_report_series,False,,,treatment_established_clad,,,
41256738,human,True,retrospective_cohort,retrospective single-center study,clinical_cohort,True,received IVIG-based therapy,Other pharmacological,prevention,47.0,Among 47 patients with dnDSA and IVIG-based therapy,
41312224,human,True,retrospective_cohort,"We analyzed donor and recipient demographics, procedural evolution, and graft survival.",clinical_cohort,False,,,na,1500.0,"1,500 lung transplants",
41232942,human,True,rct,"randomised, double-blind, placebo-controlled phase II trial",trial,True,randomised (1:1) to receive pirfenidone 2403 mg·day-1 or placebo with standard care for 26 weeks,Antifibrotic,treatment_established_clad,90.0,90 were randomised to pirfenidone (n=48) or placebo (n=42),
41325942,human,True,retrospective_cohort,A multi-institutional retrospective review of LTx patients who received belatacept,clinical_cohort,True,belatacept as a CNI-sparing regimen,Antibody / biologic,prevention,170.0,A total of 170 LTx patients who received belatacept were included for the primary outcome.,
41431410,human,True,retrospective_cohort,the baseline characteristics and outcomes ... were analyzed,clinical_cohort,False,,,na,487.0,A total of 487 patients underwent LT,
41158500,human,True,retrospective_cohort,We conducted a retrospective study of 472 LTX recipients transplanted between 2010 and 2018,clinical_cohort,False,,,na,472.0,a retrospective study of 472 LTX recipients,
41112061,human,True,prospective_cohort,single-center prospective cohort study,clinical_cohort,False,,,na,220.0,analyzed 220 lung transplant recipients,
41146914,animal,False,other,clinically relevant murine lung transplantation model,mechanistic_translational,True,VIPER-treated lungs,Other pharmacological,prevention,,,
41122970,human,False,other,single-cell transcriptomic analysis of CLAD lungs,mechanistic_translational,False,,,na,,,
41217841,mixed,True,other,2 independent LTx recipient cohorts,mechanistic_translational,False,,,na,,,
41211870,human,True,other,,mechanistic_translational,False,,,na,,,
41158494,human,True,other,Recipient and donor blood samples from the Cohort in Lung Transplantation biobank were used.,clinical_cohort,False,,,na,210.0,210 recipient-donor pairs were analysed,
41134996,human,True,registry,national cohort study,registry,False,,,na,605.0,There were 605 LTRs with COVID lung disease,
41079373,human,True,retrospective_cohort,We performed a retrospective single-center study,clinical_cohort,True,treated with subcutaneous daratumumab for antibody-mediated rejection,Antibody / biologic,na,14.0,A total of 14 patients,
41232781,mixed,False,other,We integrated single-cell RNA-seq results from GSE220797 and GSE224210 data sets.,mechanistic_translational,False,,,na,,,
41058980,human,True,prospective_cohort,In this prospective cohort study of 399 adult lung transplant recipients,clinical_cohort,True,"a protocol combining preoperative plasmapheresis, a defined eculizumab regimen, anti-thymocyte globulin, and IVIG",Antibody / biologic,prevention,399.0,prospective cohort study of 399 adult lung transplant recipients,
41087450,animal,False,other,,methods_or_review,True,a refined surgical model that combines structured intraoperative modifications with tailored mechanical ventilation strategies,Surgical / procedural,na,,,
41061480,human,True,retrospective_cohort,We retrospectively reviewed 83 deceased-donor lung transplantations,clinical_cohort,True,single lung transplantation (SLT),Surgical / procedural,prevention,83.0,83 deceased-donor lung transplantations,
41042926,human,True,retrospective_cohort,Patient records were retrospectively reviewed and analysed using Bayesian statistics.,clinical_cohort,False,,,na,122.0,122 (24%) were included,
41073263,human,True,prospective_cohort,We investigated a longitudinal cohort of 23 CF patients undergoing lung transplantation.,mechanistic_translational,False,,,na,23.0,a longitudinal cohort of 23 CF patients,
41032890,human,True,registry,Data from a Medicare-approved Registry were analyzed,registry,True,standard-of-care (SOC) immunosuppressive therapy,Other pharmacological,treatment_established_clad,258.0,48/258,
41010573,human,True,retrospective_cohort,We retrospectively analyzed transbronchial biopsies taken at three time points from 57 patients,mechanistic_translational,False,,,na,57.0,from 57 patients,
41103489,human,False,other,This review synthesizes current literature and registry data,methods_or_review,False,,,na,,,
40912970,human,False,other,,methods_or_review,False,,,na,,,
40977742,human,True,cross_sectional,127 samples from patients visited consecutively,clinical_cohort,False,,,na,,,
40979526,human,True,retrospective_cohort,This retrospective study compared outcomes among LTx recipients,clinical_cohort,False,,,na,318.0,A total of 318 LTx recipients,
40989076,human,True,prospective_cohort,"We developed a prospective, multicenter ""registry""",clinical_cohort,True,evaluate the effect of extracorporeal photopheresis,Extracorporeal photopheresis,treatment_established_clad,258.0,Data from 258 lung transplant recipients enrolled in the Registry,
40932379,human,True,retrospective_cohort,retrospectively evaluated,clinical_cohort,False,,,na,192.0,in 192 patients who underwent lung transplantation,
40881742,human,True,retrospective_cohort,This was a retrospective cohort study of lung transplant recipients,clinical_cohort,False,,,na,70.0,"Seventy subjects (58% men, mean age: 56 years) met the inclusion criteria.",
40893635,human,False,other,"This article provides updated insights into epidemiology, clinical outcomes, prevention strategies, and treatment options",methods_or_review,False,,,na,,,
40859906,human,True,retrospective_cohort,single-centre retrospective cohort study,clinical_cohort,False,,,na,80.0,included 80 patients,
40838823,human,True,prospective_cohort,"single-center, longitudinal, and prospective study",clinical_cohort,False,,,na,141.0,141 clinically stable double-lung transplant recipients,
40919459,human,False,other,"Here, we explore the idea",methods_or_review,False,,,na,,,
40809276,human,True,retrospective_cohort,retrospective cohort analysis,clinical_cohort,False,,,na,380.0,380 transplant recipients,
40782091,human,True,registry,Korean Organ Transplantation Registry,registry,False,,,na,240.0,A total of 240 cases were analyzed,
40823264,human,True,prospective_cohort,We conducted a longitudinal immunophenotyping study,mechanistic_translational,False,,,na,,,
40730786,human,True,retrospective_cohort,retrospective observational study,clinical_cohort,False,,,na,40.0,40 met the inclusion criteria,
40785747,human,True,other,single-center study included 8 consecutive patients,case_report_series,True,underwent bilateral lung transplantation and subsequent antireflux surgery due to BOS,Antireflux surgery,treatment_established_clad,8.0,included 8 consecutive patients,
40809223,human,True,other,A systematic review was conducted,methods_or_review,True,prophylactic azithromycin (pAZI),Azithromycin / macrolide,prevention,1251.0,"Six eligible studies involving 1,251 LTx recipients were included",
40710384,human,True,retrospective_cohort,We retrospectively analyzed 108 BALF and matched TBB samples from 74 lung transplant recipients,mechanistic_translational,False,,,na,74.0,from 74 lung transplant recipients,
40811102,human,True,retrospective_cohort,This 10-year retrospective cohort included 259 lung transplant recipients between 2010 and 2020.,clinical_cohort,False,,,na,259.0,included 259 lung transplant recipients,
40687845,human,True,retrospective_cohort,This retrospective study evaluated the impact of ATG,clinical_cohort,True,Patients treated with ATG were compared to those who did not receive ATG,Induction agent,treatment_established_clad,124.0,Of the 124 patients with CLAD,
40698562,human,True,retrospective_cohort,This was a single-institution retrospective cohort study,clinical_cohort,True,a protocol of accepting donor offers for lung transplant candidates with pre-formed DSA but negative CDC crossmatch,Not specified,prevention,427.0,The study cohort included 427 recipients,
41735096,human,True,prospective_cohort,"prospective, single-center experience",clinical_cohort,False,,,na,18.0,18 were transplanted,
40685517,human,True,other,"In this review, we discuss the recent findings",methods_or_review,True,ECP prophylaxis for 11 weeks post-transplantation reduces the frequency of acute cellular rejection episodes and lowers the risk of CLAD,Extracorporeal photopheresis,prevention,,,
40686680,human,True,prospective_cohort,"a prospective, single-arm, multicenter, international trial",trial,True,the use of OCS Lung,Surgical / procedural,prevention,723.0,the EXPAND cohort (n = 79) and a control cohort ... (n = 644),
40599904,human,True,retrospective_cohort,retrospective analysis of lung transplant recipients at a single center (2022-2024),clinical_cohort,False,,,na,84.0,A total of 84 patients with 589 dd-cfDNA samples were analyzed,
40605738,human,True,retrospective_cohort,single-center retrospective study,clinical_cohort,True,"patients treated with the PTH analogs teriparatide or abaloparatide, RANKL inhibitor denosumab, or bisphosphonates",Other pharmacological,na,,,
40590009,human,True,prospective_cohort,multicenter prospective cohort study,clinical_cohort,False,,,na,93.0,included 93 patients,
40669521,human,True,prospective_cohort,two prospective institutional biorepositories were screened,mechanistic_translational,False,,,na,,,
40603432,animal,False,other,,mechanistic_translational,True,Bronchial artery perfusion during EVLP,Surgical / procedural,prevention,,,
40809219,human,True,retrospective_cohort,Children with BOS who underwent LTx at SAHZU from January 2021 to September 2023 were reviewed.,clinical_cohort,False,,,na,10.0,Ten children with BOS post-HSCT underwent LTx,
40536160,human,True,cross_sectional,This observational study aimed to assess HRQOL,clinical_cohort,False,,,na,29.0,The study included 29 pediatric lung transplant recipients,
40583605,human,True,other,,clinical_cohort,False,,,na,324.0,n = 324,
40515665,human,True,retrospective_cohort,This retrospective case series included 52 lung transplant recipients,clinical_cohort,True,complete CNI withdrawal and conversion to Sirolimus,mTOR inhibitor,prevention,52.0,This retrospective case series included 52 lung transplant recipients,
40498274,human,True,retrospective_cohort,A retrospective review of medical records was performed for 36 patients,clinical_cohort,False,,,na,36.0,for 36 patients who received a lung transplant,
40484977,mixed,False,other,,mechanistic_translational,True,the use of the FPPS inhibitor zoledronic acid reduced the tracheal epithelial cell damage,Other pharmacological,prevention,,,
40487877,human,True,prospective_cohort,"PFR ... was measured using a ... device ... at the start of the study and then 1 year out, in total two time points (0 and 1 year)",mechanistic_translational,False,,,na,,,
40657687,human,True,retrospective_cohort,single-center retrospective study,clinical_cohort,True,shift from two to one procedure per cycle,Extracorporeal photopheresis,treatment_established_clad,25.0,in 25 patients with CLAD,
40470157,human,True,cross_sectional,A structured questionnaire was sent to 71 centres in 24 countries.,clinical_cohort,False,,,na,,,
40446880,animal,False,other,Using a murine CLAD model,mechanistic_translational,True,CTLA4-Ig treatment,Antibody / biologic,prevention,,,
40453071,human,True,rct,pilot randomized controlled study,trial,True,Patients were randomly assigned to receive either standard immunosuppressive therapy alone or standard therapy plus six sessions of extracorporeal photopheresis,Extracorporeal photopheresis,prevention,21.0,21 were randomized (9 to the study group and 12 to the control group),
40449603,animal,False,other,assigned to 3 groups,mechanistic_translational,True,AAV9-PD-L1 via the bronchus during static cold storage,Other pharmacological,prevention,,,
40455051,human,True,retrospective_cohort,We retrospectively analysed lung transplant recipients with ILD in British Columbia between 1 January 2014 and 30 April 2024.,clinical_cohort,False,,,na,,,
40461919,human,True,registry,from the China Lung Transplantation Registry,registry,False,,,na,62.0,63 transplants were performed in 62 pediatric patients,
40491547,human,True,retrospective_cohort,A retrospective cohort study was conducted,clinical_cohort,True,redo lung transplantation,Surgical / procedural,treatment_established_clad,177.0,In a cohort of 177 patients with advanced CLAD,
40330662,human,True,retrospective_cohort,A retrospective analysis was performed on 959 lung transplant patients from 2011 to 2023,clinical_cohort,False,,,na,959.0,959 lung transplant patients,
40441397,human,True,other,,mechanistic_translational,False,,,na,,,
40404215,human,True,retrospective_cohort,included retrospectively,mechanistic_translational,False,,,na,60.0,60 LuTx recipients from the Cohort for Lung Transplantation (COLT) cohort were included retrospectively,
40437291,human,True,retrospective_cohort,identified bilateral LTx recipients with a pre-LTx history of bariatric surgery,clinical_cohort,True,"bariatric surgery (Roux-en-Y gastric bypass [RYGB], sleeve gastrectomy [SG], or laparoscopic adjustable gastric band [LAGB])",Surgical / procedural,prevention,27.0,Nine patients ... compared to a 1-to-2 propensity score-matched control group (n = 18),
40300676,human,True,retrospective_cohort,We analyzed longitudinal clinical data from 6 North American lung transplant centers,clinical_cohort,True,gliptin exposure,Other pharmacological,prevention,779.0,Seven hundred and seventy-nine patients met inclusion criteria,
40371053,human,True,other,A longitudinal cohort study analyzed 15 tissue specimens from 2 groups of bilateral LTx recipients,mechanistic_translational,False,,,na,6.0,those with CLAD (n = 3) and those without CLAD (n = 3),
40293382,human,True,prospective_cohort,We prospectively identified recipients with undifferentiated ALAD and controls with stable allograft function,mechanistic_translational,False,,,na,,,
40283490,human,True,prospective_cohort,one-year longitudinal pilot study,mechanistic_translational,False,,,na,11.0,We collected blood from 11 LTx recipients,
40319401,human,True,retrospective_cohort,Adult recipients (aged 18 years and older) who underwent LDLLT and BDLT between 2008 and 2022 were analyzed.,clinical_cohort,True,living-donor lobar lung transplantation (LDLLT) relative to brain-dead donor lung transplantation (BDLT),Surgical / procedural,na,257.0,Eighty LDLLT and 177 BDLT procedures were performed.,
