pmid,source_format,outcome_role,study_design,study_design_llm,study_design_meta,design_disagreement,sample_size,followup,funding,missing_data_handled,strobe_cited,is_interventional_ft,intervention,intervention_intent,trial_registered,registration_id,primary_exposure,exposure_measure,exposure_estimate,exposure_ci,exposure_significant,survival_method,time_varying_covariates,multiplicity_addressed,n_clad_events,n_covariates_in_model,events_per_variable,adjustment_set,n_adjusted,protocol,model,extracted,score_indication_mix,adj_indication_mix,score_procedure,adj_procedure,score_era,adj_era,score_center_structure,adj_center_structure,score_sample_followup,adj_sample_followup,score_donor_type,adj_donor_type,score_evlp,adj_evlp,score_race_ethnicity,adj_race_ethnicity,score_cmv_dr,adj_cmv_dr,score_hla_mismatch,adj_hla_mismatch,score_pre_tx_dsa,adj_pre_tx_dsa,score_de_novo_dsa,adj_de_novo_dsa,score_induction,adj_induction,score_maintenance_is,adj_maintenance_is,score_acr,adj_acr,score_amr,adj_amr,score_pgd,adj_pgd,score_cmv_events,adj_cmv_events,score_resp_viral,adj_resp_viral,score_colonization,adj_colonization,score_gerd,adj_gerd,score_azithromycin,adj_azithromycin,score_telomere,adj_telomere,score_pre_tx_is,adj_pre_tx_is,score_antifibrotic,adj_antifibrotic,score_cni_ipv,adj_cni_ipv,score_cyp3a5,adj_cyp3a5,score_nonhla_ab,adj_nonhla_ab,score_eplet_mm,adj_eplet_mm,score_clad_definition,adj_clad_definition,score_phenotyping,adj_phenotyping,score_nrad_exclusion,adj_nrad_exclusion,score_clad_staging,adj_clad_staging,score_baseline_fev1,adj_baseline_fev1,score_competing_risk,adj_competing_risk,score_followup_censoring,adj_followup_censoring,min_set_met,n_minset,year,era,journal,publisher,country,group_key,is_multicenter_or_registry,design_meta,tier,design_adjudicated,species,clinical,class_intervention,class_intent,evaluates_intervention,study_design_ab,sample_n_ab,study_type,is_interventional,intent_adjudicated,n_adjusted_grounded,model_type,clad_method,n_covariates_clad,clad_covariates,cite_count,rcr,nih_pctl,cites_per_year
15738294,pdf,primary,retrospective_cohort,retrospective_cohort,,False,20.0,"1,244 days (25–75th percentiles: 891–1667)",none_stated,unclear,False,False,,na,unclear,,MMP-9/TIMP-1 ratio,,,,True,none,no,no,8.0,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-12,full,False,full,False,full,False,not,False,full,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,full,False,partial,False,not,False,not,False,not,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,partial,False,na,False,not,False,na,False,full,False,partial,False,partial,False,full,False,full,False,na,False,na,False,False,2,2005,pre,The European respiratory journal,European Respiratory Society (ERS),Germany,bewig b|germany,False,,OA,False,human,True,,na,False,retrospective_cohort,20.0,mechanistic_translational,False,False,0,none,none,,,49.0,1.2224049669445751,57.3,2.33
15740562,pdf,secondary,retrospective_cohort,retrospective_cohort,,False,51.0,Follow-up time after LTX was up to 9.7 yr for regimen I and 3.4 yr for regimen II.,unclear,unclear,False,False,two different immunosuppressive regimens,prevent_clad,unclear,,Immunosuppressive regimen,,,,,km_logrank,no,no,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,full,False,full,False,partial,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,full,False,full,False,partial,False,not,False,not,False,partial,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,partial,False,na,False,not,False,na,False,partial,False,partial,False,not,False,partial,False,not,False,not,False,not,False,False,2,2005,pre,Clinical transplantation,Wiley,Netherlands,postma ds|netherlands,True,,Wiley,False,human,True,Maintenance immunosuppression,prevention,True,other,51.0,clinical_cohort,True,False,0,univariable_only,km_logrank,,,7.0,0.1821410242548964,11.9,0.33
15764726,pdf,exclude,registry,registry,registry,False,5262.0,,public_nonprofit,unclear,False,False,,na,unclear,,Primary graft dysfunction,HR,1.38,1.09–1.74,True,cox_ph,yes,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-12,not,False,not,False,full,False,partial,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,partial,False,not,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,na,False,not,False,na,False,partial,False,partial,False,not,False,not,False,not,False,partial,False,not,False,False,1,2005,pre,American journal of respiratory and critical care medicine,Oxford University Press (OUP),United States,kimmel se|united states,True,registry,OA,False,human,True,,na,False,registry,5262.0,registry,False,False,0,none,none,,,278.0,7.536008906813128,96.0,13.24
15786006,pdf,descriptor,retrospective_cohort,retrospective_cohort,,False,21.0,,unclear,unclear,False,False,,na,unclear,,,,,,,none,unclear,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-12,not,False,not,False,full,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,na,False,na,False,na,False,na,False,not,False,na,False,partial,False,partial,False,not,False,partial,False,not,False,na,False,na,False,False,1,2005,pre,The Thoracic and cardiovascular surgeon,Georg Thieme Verlag KG,Germany,scheld hh|germany,False,,Other-paywall,False,human,True,,na,False,retrospective_cohort,21.0,clinical_cohort,False,False,0,none,none,,,10.0,0.3785603940922692,22.8,0.48
15797743,pdf,secondary,retrospective_cohort,retrospective_cohort,,False,49.0,Mean patient follow-up (days) since initiation of sirolimus 310  140,none_stated,unclear,False,False,"Conversion to a tacrolimus, sirolimus, and prednisone immunosuppressive regimen",treat_clad,unclear,,"Tacrolimus, sirolimus, and prednisone immunosuppressive regimen",other,,,,none,unclear,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,full,False,full,False,full,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,partial,False,not,False,not,False,na,False,partial,False,partial,False,not,False,partial,False,not,False,na,False,na,False,False,2,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Elsevier BV,United States,bhorade sm|united states,True,,Elsevier,False,human,True,mTOR inhibitor,treatment_established_clad,True,retrospective_cohort,49.0,clinical_cohort,True,False,0,none,none,,,21.0,0.5819566044978454,33.1,1.0
15797750,pdf,secondary,retrospective_cohort,retrospective_cohort,,False,362.0,,none_stated,unclear,False,False,,na,unclear,,Donor optimized PO2,HR,1.05,0.68–1.62,False,cox_ph,unclear,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,not,False,partial,False,full,False,full,False,partial,False,not,False,not,False,not,False,full,False,not,False,not,False,not,False,not,False,not,False,partial,False,not,False,not,False,partial,False,not,False,not,False,not,False,not,False,na,False,na,False,na,False,na,False,na,False,not,False,na,False,partial,False,partial,False,not,False,not,False,not,False,not,False,not,False,False,2,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Elsevier BV,United Kingdom,wallwork j|united kingdom,False,,Elsevier,False,human,True,,na,False,retrospective_cohort,362.0,clinical_cohort,False,False,0,multivariable,cox_ph,2.0,donor age;recipient age,22.0,0.7120144799835634,39.1,1.05
15797754,pdf,primary,other,other,,False,26.0,910 (194–1975) days,public_nonprofit,unclear,False,False,,na,unclear,,Hypertonic saline bronchial challenge response,OR,12.6,1.3–123.5,True,logistic,no,unclear,21.0,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,not,False,full,False,full,False,full,False,full,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,na,False,na,False,not,False,na,False,partial,False,partial,False,not,False,not,False,partial,False,na,False,na,False,False,0,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Elsevier BV,Australia,snell gi|australia,False,,OA,False,human,True,,na,False,prospective_cohort,26.0,clinical_cohort,False,False,0,univariable_only,logistic,,,13.0,0.4237026381087718,25.2,0.62
15800973,pdf,primary,retrospective_cohort,retrospective_cohort,,False,57.0,,public_nonprofit,unclear,False,False,,na,unclear,,BALF HNP level,other,2.7,"1.7, 4.3",True,cox_ph,yes,na,,1.0,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,not,False,not,False,full,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,full,False,not,False,not,False,partial,False,partial,False,not,False,not,False,not,False,na,False,na,False,na,False,na,False,na,False,not,False,na,False,full,False,partial,False,not,False,partial,False,partial,False,not,False,not,False,False,1,2005,pre,Proteomics,Wiley,United States,wendt ch|united states,False,,Wiley,False,human,True,,na,False,retrospective_cohort,57.0,mechanistic_translational,False,False,0,univariable_only,cox_ph,,,38.0,1.0273211161298592,51.3,1.81
15808551,pdf,primary,other,other,,False,12.0,,public_nonprofit,unclear,False,True,tacrolimus immunosuppression,prevent_clad,no,,12-day postoperative course of tacrolimus,,,,,none,unclear,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,not,False,not,False,not,False,not,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,full,False,partial,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,na,False,na,False,partial,False,na,False,not,False,not,False,partial,False,partial,False,not,False,not,False,not,False,na,False,na,False,False,2,2005,pre,Transplantation proceedings,Elsevier BV,United States,allan js|united states,True,,Elsevier,False,animal,False,Maintenance immunosuppression,prevention,True,other,,mechanistic_translational,True,False,0,none,none,,,12.0,0.2781896324207378,17.3,0.57
15814280,pdf,exclude,other,other,,False,125.0,at least one year post-lung transplantation,public_nonprofit,unclear,False,False,,na,unclear,,"MDR1, CYP3A5, and cytokine gene polymorphisms",OR,0.29,0.1–0.86,True,logistic,no,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,not,False,not,False,full,False,not,False,partial,False,not,False,not,False,not,False,not,False,partial,False,not,False,not,False,not,False,partial,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,partial,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,na,False,False,3,2005,pre,Transplant immunology,Elsevier BV,United States,burckart gj|united states,False,,Elsevier,False,human,True,,na,False,other,125.0,clinical_cohort,False,False,2,none,none,,,43.0,1.2884885353983415,59.1,2.05
15816892,pdf,secondary,retrospective_cohort,retrospective_cohort,,False,28.0,overall median survival of 12.1 (range 10.4–16.0) years,unclear,unclear,False,False,,na,unclear,,,,,,,km_logrank,unclear,unclear,23.0,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-12,full,False,full,False,partial,False,full,False,full,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,full,False,full,False,not,False,not,False,not,False,not,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,not,False,na,False,partial,False,partial,False,not,False,full,False,not,False,not,False,partial,False,False,2,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Elsevier BV,,corris pa|,False,,Elsevier,False,human,True,,na,False,cross_sectional,28.0,clinical_cohort,False,False,0,univariable_only,km_logrank,,,44.0,1.4957304902901094,64.2,2.1
15819861,pdf,secondary,retrospective_cohort,retrospective_cohort,,False,251.0,,none_stated,unclear,False,False,,na,unclear,,Aspergillus infection,,,,True,km_logrank,no,no,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-12,full,False,full,False,full,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,full,False,partial,False,partial,False,not,False,not,False,partial,False,not,False,full,False,not,False,not,False,not,False,na,False,not,False,partial,False,na,False,not,False,na,False,partial,False,partial,False,not,False,partial,False,partial,False,not,False,not,False,False,2,2005,pre,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,Elsevier BV,Spain,,False,,OA,False,human,True,,na,False,retrospective_cohort,251.0,clinical_cohort,False,False,0,none,none,,,141.0,4.260454600699541,90.2,6.71
15823457,pdf,descriptor,retrospective_cohort,retrospective_cohort,,False,35.0,Median follow-up was 19 months (range 11–23 months),none_stated,unclear,False,False,,na,unclear,,steroid withdrawal,,,,,none,unclear,unclear,,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,full,False,full,False,full,False,not,False,full,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,not,False,na,False,not,False,partial,False,not,False,not,False,partial,False,na,False,na,False,False,1,2005,pre,Respiratory medicine,Elsevier BV,Israel,kramer mr|israel,True,,Elsevier,False,human,True,IS minimization / conversion,na,True,other,35.0,clinical_cohort,True,False,0,none,none,,,13.0,0.4122245369697501,24.6,0.62
15848310,pdf,secondary,retrospective_cohort,retrospective_cohort,,False,98.0,After a mean follow up of 697G343 days (range 0–1268 days),none_stated,unclear,False,False,,na,unclear,,Extended versus standard donor organs,,,,,km_logrank,unclear,unclear,8.0,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-06,full,False,full,False,full,False,full,False,partial,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,not,False,na,False,not,False,na,False,na,False,not,False,na,False,partial,False,partial,False,not,False,partial,False,not,False,not,False,not,False,False,0,2005,pre,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,Oxford University Press (OUP),Austria,klepetko w|austria,False,,OA,False,human,True,Donor selection,na,True,retrospective_cohort,98.0,clinical_cohort,True,False,0,none,none,,,98.0,3.0095969837083074,84.0,4.67
15863637,pdf,primary,prospective_cohort,prospective_cohort,,False,50.0,,public_nonprofit,unclear,False,False,,na,unclear,,Exhaled nitric oxide fraction (FeNO),other,mean difference 8.7,6.4–11.1,True,other,unclear,yes,16.0,,,,0,"clad-audit v0.7 (2026-08-06): v0.6 + registry design reconciliation (metadata registry overrides LLM, like rct)",gpt-5.6-luna,2026-08-12,full,False,full,False,full,False,full,False,partial,False,not,False,not,False,not,False,partial,False,not,False,not,False,not,False,partial,False,full,False,partial,False,not,False,not,False,not,False,not,False,full,False,not,False,not,False,not,False,not,False,not,False,partial,False,na,False,not,False,na,False,partial,False,partial,False,partial,False,full,False,full,False,na,False,na,False,False,3,2005,pre,The European respiratory journal,European Respiratory Society (ERS),France,fournier m|france,False,,OA,False,human,True,,na,False,prospective_cohort,50.0,clinical_cohort,False,False,0,none,none,,,30.0,0.9587077891440188,48.9,1.43
